"st.code","cnty.code","all.poverty","poverty.lwr.bound","med.inc","med.inc.lwr","med.inc.uppr"
"05","097",180,345,352,317,402
"05","099",214,589,133,117,150
"05","101",157,191,466,512,440
"05","103",561,1837,388,346,435
"05","105",175,330,945,887,1037
"05","107",695,2076,60,54,66
"05","109",216,590,565,552,572
"05","111",523,1707,462,544,406
"05","113",439,1510,246,242,259
"05","115",1086,2671,861,899,873
"05","117",152,223,855,851,915
"05","119",6189,2087,1571,1670,1480
"05","121",314,1067,660,728,594
"05","123",760,2200,111,115,111
"05","125",990,2513,2506,2501,2530
"05","127",250,800,253,263,241
"05","129",182,358,164,217,134
"05","131",2754,1058,859,953,809
"05","133",351,1197,582,569,585
"05","135",360,1223,182,174,200
"05","137",301,1038,95,101,99
"05","139",918,2532,981,946,1047
"05","141",364,1315,237,265,216
"05","143",4109,1558,1562,1648,1476
"05","145",1450,253,1148,1089,1216
"05","147",170,311,93,95,103
"05","149",374,1253,588,601,567
"06","001",19798,719,2979,3005,2973
"06","003",21,542,2316,2206,2388
"06","005",431,1440,2428,2333,2509
"06","007",4815,1767,1179,1328,1010
"06","009",605,1923,2336,2249,2401
"06","011",303,1059,1809,1770,1864
"06","013",11546,62,2997,3016,3011
"06","015",538,1728,1064,1091,1059
"06","017",2071,674,2901,2907,2934
"06","019",26138,1079,1299,1485,1115
"06","021",472,1583,1349,1241,1444
"06","023",2760,1063,947,1066,877
"06","025",4016,1468,758,769,757
"06","027",253,827,1937,1804,2099
"06","029",20660,778,1767,1900,1612
"06","031",3317,1269,1430,1419,1456
"06","033",1538,329,502,509,512
"06","035",447,1484,2008,1934,2109
"06","037",186302,685,2493,2652,2270
"06","039",3254,1208,1280,1308,1250
"06","041",2227,753,3046,3051,4
"06","043",283,937,1791,1814,1775
"06","045",1625,346,1232,1296,1181
"06","047",6458,2168,1354,1460,1266
"06","049",177,348,796,804,797
"06","051",155,210,2650,2593,2740
"06","053",7025,2254,2581,2658,2502
"06","055",1231,25,2914,2916,2941
"06","057",1119,2675,2565,2546,2600
"06","059",40025,1588,2968,2998,2967
"06","061",3049,1172,2963,2981,2975
"06","063",255,813,1802,1677,1943
"06","065",39270,1557,2558,2691,2386
"06","067",26495,1094,2502,2639,2333
"06","069",816,2352,2871,2874,2903
"06","071",42240,1659,2209,2457,1947
"06","073",46724,1797,2838,2897,2803
"06","075",10131,2722,3012,3026,3030
"06","077",14516,336,2168,2387,1945
"06","079",3804,1438,2752,2770,2747
"06","081",5658,1956,4,3062,6
"06","083",7360,2334,2771,2785,2757
"06","085",15955,425,3047,3056,3070
"06","087",4207,1582,2810,2805,2835
"06","089",2601,951,1340,1470,1220
"06","091",40,1351,1742,1566,1898
"06","093",907,2526,751,797,706
"06","095",5163,1823,2857,2875,2867
"06","097",5574,1953,2853,2880,2857
"06","099",9545,2622,2098,2345,1882
"06","101",1448,194,2193,2244,2163
"06","103",1135,2691,972,993,974
"06","105",257,806,386,403,385
"06","107",12730,190,1183,1354,1004
"06","109",717,2133,1954,1894,2043
"06","111",9591,2620,2953,2984,2957
"06","113",3949,1516,2418,2462,2391
"06","115",1569,315,1060,1028,1105
"08","001",6138,2069,2658,2745,2582
"08","003",338,1169,696,646,742
"08","005",6884,2244,2826,2868,2810
"08","007",178,360,1431,1311,1547
"08","009",71,2078,499,447,551
"08","011",127,8,423,383,482
"08","013",4029,1527,2918,2929,2935
"08","014",246,655,3022,3022,3054
"08","015",211,533,1891,1858,1944
"08","017",24,724,2237,2130,2357
"08","019",76,2162,2882,2850,2945
"08","021",188,449,304,291,325
"08","023",101,2536,57,50,61
"08","025",124,2704,211,191,231
"08","027",62,1914,1844,1685,2020
"08","029",457,1543,1522,1472,1574
"08","031",10341,2729,2445,2565,2314
"08","033",30,1041,1404,1238,1552
"08","035",1174,2755,8,2,15
"08","037",411,1375,2976,2965,3012
"08","039",140,84,3010,3013,3047
"08","041",7836,2403,2655,2739,2590
"08","043",728,2194,1057,1110,1021
"08","045",577,1844,2784,2754,2811
"08","047",45,1481,2819,2759,2883
"08","049",151,241,2661,2600,2750
"08","051",221,649,1901,1750,2069
"08","053",7,2181,2136,1953,2317
"08","055",138,81,224,189,251
"08","057",23,682,1494,1333,1639
"08","059",4548,1657,2906,2941,2893
"08","061",18,408,1180,1165,1176
"08","063",108,2613,1645,1532,1748
"08","065",115,2670,1683,1535,1821
"08","067",554,1769,2710,2718,2732
"08","069",4044,1547,2590,2638,2557
"08","071",231,636,832,826,886
"08","073",81,2236,1033,924,1168
"08","075",329,1171,1541,1403,1662
"08","077",2215,748,2019,2054,2021
"08","079",6,1896,2139,2018,2264
"08","081",143,119,2526,2399,2631
"08","083",415,1389,1395,1381,1412
"08","085",625,1981,1637,1777,1504
"08","087",371,1266,1783,1762,1781
"08","089",468,1623,243,230,258
"08","091",44,1486,2572,2469,2682
"08","093",152,165,2624,2580,2700
"08","095",49,1590,1712,1569,1830
"08","097",122,2721,2935,2904,3000
"08","099",244,741,797,743,881
"08","101",2984,1135,1056,1177,931
"08","103",70,2083,2799,2748,2842
"08","105",208,540,950,882,1058
"08","107",199,517,2850,2840,2895
"08","109",184,402,142,124,165
"08","111",11,2609,879,816,979
"08","113",77,2173,2671,2601,2767
"08","115",32,1110,1438,1415,1473
"08","117",283,974,2875,2841,2939
"08","119",220,634,2778,2692,2836
"08","121",52,1639,1583,1448,1699
"08","123",2851,1051,2738,2780,2717
"08","125",139,100,1686,1551,1811
"09","001",8313,2468,3020,3033,3040
"09","003",10607,2760,2835,2884,2812
"09","005",1401,171,2937,2961,2948
"09","007",1263,79,2972,2970,2999
"09","009",10872,7,2700,2778,2630
"09","011",2886,1097,2836,2871,2826
"09","013",1025,2608,2987,3002,3006
"09","015",1157,2700,2586,2587,2606
"10","001",2348,821,2400,2485,2338
"10","003",6564,2192,2817,2846,2806
"10","005",2890,1102,2335,2418,2257
"11","001",11479,96,2896,2931,2886
"12","001",5275,1894,1412,1478,1354
"12","003",482,1627,1721,1571,1860
"12","005",2716,981,1464,1528,1416
"12","007",528,1735,872,823,961
"12","009",7965,2406,1804,1998,1616
"12","011",26841,1090,2161,2415,1913
"12","013",280,877,407,391,441
"12","015",1970,539,1290,1434,1153
"12","017",2744,1032,510,635,429
"12","019",2165,695,2625,2647,2638
"12","021",4921,1779,2617,2678,2576
"12","023",1360,149,734,793,675
"12","027",943,2514,574,639,520
"12","029",391,1321,185,170,205
"12","031",15974,444,1604,1828,1378
"12","033",4432,1552,1614,1813,1434
"12","035",1177,2741,2170,2366,1985
"12","037",250,769,548,571,537
"12","039",1111,2720,461,465,471
"12","041",313,1095,973,918,1064
"12","043",255,801,762,695,831
"12","045",283,913,722,658,786
"12","047",365,1271,162,154,176
"12","049",764,2269,418,397,453
"12","051",958,2499,736,711,761
"12","053",2662,992,888,1048,780
"12","055",1889,504,458,576,379
"12","057",21796,833,2085,2362,1822
"12","059",474,1615,448,468,427
"12","061",2109,619,1775,1765,1766
"12","063",978,2556,561,570,554
"12","065",228,611,899,861,977
"12","067",179,362,691,611,769
"12","069",4295,1550,1698,1848,1556
"12","071",10749,2780,1921,2151,1728
"12","073",6273,2138,1546,1659,1440
"12","075",832,2315,621,697,550
"12","077",154,213,731,776,698
"12","079",456,1569,240,201,274
"12","081",4901,1752,2182,2376,1990
"12","083",5857,1979,851,1094,705
"12","085",1809,458,2480,2542,2433
"12","086",53514,1969,1221,1511,935
"12","087",1062,2655,2579,2631,2540
"12","089",885,2447,2550,2498,2614
"12","091",2368,836,2511,2535,2495
"12","093",947,2543,585,593,568
"12","095",22265,850,1718,1950,1487
"12","097",5922,2017,1246,1356,1153
"12","099",20486,732,2233,2453,2010
"12","101",7012,2238,1514,1753,1288
"12","103",13988,291,1504,1776,1249
"12","105",11253,30,1223,1429,1041
"12","107",2016,608,178,202,168
"12","109",1757,376,2845,2878,2845
"12","111",4975,1755,1216,1317,1129
"12","113",1756,396,2629,2641,2656
"12","115",4234,1525,2224,2426,2025
"12","117",5178,1806,2536,2619,2454
"12","119",1152,2701,2202,2212,2214
"12","121",955,2457,698,737,681
"12","123",447,1464,507,463,545
"12","125",251,780,900,842,1003
"12","127",8767,2531,984,1242,771
"12","129",418,1387,2179,2117,2255
"12","131",935,2493,1691,1684,1716
"12","133",434,1408,522,507,531
"13","001",449,1536,532,497,566
"13","003",216,614,163,144,193
"13","005",283,971,317,314,336
"13","007",88,2349,1275,1345,1210
"13","009",1180,25,581,511,644
"13","011",307,1052,1605,1529,1673
"13","013",944,2486,1975,2019,1963
"13","015",1439,214,2157,2174,2172
"13","017",488,1629,136,147,130
"13","019",492,1690,398,363,444
"13","021",4174,1574,482,613,392
"13","023",266,915,935,841,1075
"13","025",397,1360,558,515,606
"13","027",441,1521,234,219,244
"13","029",401,1377,2844,2812,2911
"13","031",2089,716,501,476,526
"13","033",696,2144,396,414,390
"13","035",447,1535,1076,949,1211
"13","037",183,413,127,110,140
"13","039",598,1827,2190,2253,2144
"13","043",306,1088,167,155,190
"13","045",2498,920,1316,1267,1336
"13","047",821,2271,2079,2075,2114
"13","049",294,978,327,287,380
"13","051",4823,1736,2025,2237,1836
"13","053",160,231,1597,1439,1738
"13","055",494,1644,368,357,404
"13","057",2133,666,2915,2915,2943
"13","059",4188,1603,151,197,124
"13","061",113,2693,48,39,58
"13","063",6012,2059,1253,1499,1013
"13","065",191,488,154,134,182
"13","067",9360,2589,2855,2893,2840
"13","069",1114,2705,245,250,247
"13","071",1198,29,269,309,247
"13","073",1309,122,2870,2888,2884
"13","075",443,1539,202,187,212
"13","077",1680,406,2715,2726,2741
"13","079",243,740,1273,1136,1397
"13","081",732,2156,140,125,156
"13","083",251,813,1248,1132,1357
"13","085",267,882,2584,2519,2667
"13","087",724,2177,301,269,343
"13","089",14481,333,2068,2306,1857
"13","091",495,1635,198,173,221
"13","093",373,1267,138,118,158
"13","095",2811,1089,186,252,148
"13","097",1942,520,2423,2437,2438
"13","099",308,1077,379,402,374
"13","101",107,2618,342,297,394
"13","103",603,1880,2728,2751,2739
"13","105",410,1383,415,422,425
"13","107",713,2172,99,93,107
"13","109",279,936,257,239,277
"13","111",461,1571,664,668,665
"13","113",747,2186,2989,2992,3019
"13","115",1940,537,1120,1152,1077
"13","117",1286,64,3025,3036,3045
"13","119",522,1796,689,623,754
"13","121",16802,487,2484,2612,2349
"13","123",562,1848,880,832,959
"13","125",57,1791,833,855,856
"13","127",1566,323,1680,1760,1598
"13","129",980,2584,1363,1326,1386
"13","131",658,2074,406,381,446
"13","133",398,1422,1227,1107,1361
"13","135",11688,77,2678,2743,2657
"13","137",632,1965,995,1029,997
"13","139",3158,1200,2234,2303,2183
"13","141",258,840,31,24,41
"13","143",530,1711,925,880,1000
"13","145",307,1048,2839,2814,2898
"13","147",528,1731,744,686,790
"13","149",217,588,1051,964,1148
"13","151",2908,1122,2701,2686,2744
"13","153",2531,931,2320,2271,2350
"13","155",213,583,472,415,527
"13","157",828,2332,2207,2290,2137
"13","159",242,754,1121,1006,1226
"13","161",363,1281,405,392,438
"13","163",415,1432,129,119,135
"13","165",272,870,121,122,117
"13","167",241,735,91,82,105
"13","169",411,1420,2188,2056,2321
"13","171",360,1271,918,834,1053
"13","173",241,738,592,530,652
"13","175",1190,13,460,433,492
"13","177",333,1163,2816,2776,2868
"13","179",1074,2621,1105,1222,956
"13","181",135,41,816,773,911
"13","183",366,1260,1283,1259,1304
"13","185",2622,987,770,803,744
"13","187",529,1757,1443,1357,1542
"13","189",581,1963,619,555,689
"13","191",329,1155,641,614,671
"13","193",405,1395,83,73,96
"13","195",553,1853,1556,1545,1561
"13","197",225,670,484,483,490
"13","199",493,1677,601,573,640
"13","201",146,170,410,370,466
"13","205",669,2071,219,228,224
"13","207",381,1314,2348,2224,2456
"13","209",186,393,515,475,547
"13","211",267,861,2042,1937,2168
"13","213",728,2158,992,976,1044
"13","215",4223,1579,1112,1230,983
"13","217",1973,599,1815,1802,1851
"13","219",275,904,2999,2985,3038
"13","221",229,661,1688,1647,1736
"13","223",1577,304,2805,2816,2818
"13","225",558,1775,943,888,1034
