"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2015"
"01001","Autauga, AL",37773
"01003","Baldwin, AL",40121
"01005","Barbour, AL",31443
"01007","Bibb, AL",29075
"01009","Blount, AL",31663
"01011","Bullock, AL",25929
"01013","Butler, AL",33518
"01015","Calhoun, AL",33418
"01017","Chambers, AL",31282
"01019","Cherokee, AL",32645
"01021","Chilton, AL",31380
"01023","Choctaw, AL",31046
"01025","Clarke, AL",31877
"01027","Clay, AL",32965
"01029","Cleburne, AL",31209
"01031","Coffee, AL",38929
"01033","Colbert, AL",35831
"01035","Conecuh, AL",29643
"01037","Coosa, AL",28651
"01039","Covington, AL",31581
"01041","Crenshaw, AL",34228
"01043","Cullman, AL",35923
"01045","Dale, AL",34107
"01047","Dallas, AL",31595
"01049","DeKalb, AL",29621
"01051","Elmore, AL",37561
"01053","Escambia, AL",30342
"01055","Etowah, AL",34086
"01057","Fayette, AL",30426
"01059","Franklin, AL",31614
"01061","Geneva, AL",32155
"01063","Greene, AL",31029
"01065","Hale, AL",34726
"01067","Henry, AL",35727
"01069","Houston, AL",38284
"01071","Jackson, AL",33930
"01073","Jefferson, AL",47718
"01075","Lamar, AL",30593
"01077","Lauderdale, AL",35189
"01079","Lawrence, AL",32320
"01081","Lee, AL",33622
"01083","Limestone, AL",37260
"01085","Lowndes, AL",37720
"01087","Macon, AL",31191
"01089","Madison, AL",45836
"01091","Marengo, AL",35761
"01093","Marion, AL",28972
"01095","Marshall, AL",32996
"01097","Mobile, AL",35348
"01099","Monroe, AL",30784
"01101","Montgomery, AL",40474
"01103","Morgan, AL",36345
"01105","Perry, AL",29414
"01107","Pickens, AL",30139
"01109","Pike, AL",35323
"01111","Randolph, AL",32119
"01113","Russell, AL",29001
"01115","St. Clair, AL",34400
"01117","Shelby, AL",49212
"01119","Sumter, AL",30695
"01121","Talladega, AL",31805
"01123","Tallapoosa, AL",35942
"01125","Tuscaloosa, AL",36016
"01127","Walker, AL",37056
"01129","Washington, AL",34007
"01131","Wilcox, AL",28128
"01133","Winston, AL",32545
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",49611
"02016","Aleutians West Census Area, AK*",52569
"02020","Anchorage Municipality, AK",62728
"02050","Bethel Census Area, AK*",39827
"02060","Bristol Bay Borough, AK",65769
"02068","Denali Borough, AK*",67770
"02070","Dillingham Census Area, AK*",51969
"02090","Fairbanks North Star Borough, AK",54185
"02100","Haines Borough, AK",47929
"02105","Hoonah-Angoon Census Area, AK*",53956
"02110","Juneau City and Borough, AK",62694
"02122","Kenai Peninsula Borough, AK",52639
"02130","Ketchikan Gateway Borough, AK*",63235
