"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2006"
"01001","Autauga, AL",29705
"01003","Baldwin, AL",35766
"01005","Barbour, AL",24955
"01007","Bibb, AL",21386
"01009","Blount, AL",24616
"01011","Bullock, AL",21314
"01013","Butler, AL",24890
"01015","Calhoun, AL",28302
"01017","Chambers, AL",25577
"01019","Cherokee, AL",23574
"01021","Chilton, AL",26009
"01023","Choctaw, AL",23403
"01025","Clarke, AL",24618
"01027","Clay, AL",27929
"01029","Cleburne, AL",23965
"01031","Coffee, AL",31706
"01033","Colbert, AL",28496
"01035","Conecuh, AL",23348
"01037","Coosa, AL",25400
"01039","Covington, AL",25473
"01041","Crenshaw, AL",26688
"01043","Cullman, AL",28273
"01045","Dale, AL",29702
"01047","Dallas, AL",25971
"01049","DeKalb, AL",23615
"01051","Elmore, AL",29998
"01053","Escambia, AL",23407
"01055","Etowah, AL",26783
"01057","Fayette, AL",22674
"01059","Franklin, AL",24909
"01061","Geneva, AL",25142
"01063","Greene, AL",24785
"01065","Hale, AL",25387
"01067","Henry, AL",29070
"01069","Houston, AL",33054
"01071","Jackson, AL",27316
"01073","Jefferson, AL",40093
"01075","Lamar, AL",22907
"01077","Lauderdale, AL",27974
"01079","Lawrence, AL",22848
"01081","Lee, AL",27706
"01083","Limestone, AL",32856
"01085","Lowndes, AL",23973
"01087","Macon, AL",21876
"01089","Madison, AL",37208
"01091","Marengo, AL",28070
"01093","Marion, AL",24152
"01095","Marshall, AL",27419
"01097","Mobile, AL",29521
"01099","Monroe, AL",24708
"01101","Montgomery, AL",34832
"01103","Morgan, AL",29593
"01105","Perry, AL",22870
"01107","Pickens, AL",25148
"01109","Pike, AL",27812
"01111","Randolph, AL",24464
"01113","Russell, AL",24360
"01115","St. Clair, AL",28258
"01117","Shelby, AL",43303
"01119","Sumter, AL",21820
"01121","Talladega, AL",25896
"01123","Tallapoosa, AL",28397
"01125","Tuscaloosa, AL",30683
"01127","Walker, AL",29559
"01129","Washington, AL",23971
"01131","Wilcox, AL",21698
"01133","Winston, AL",25719
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",35083
"02016","Aleutians West Census Area, AK*",33994
"02020","Anchorage Municipality, AK",46706
"02050","Bethel Census Area, AK*",27897
"02060","Bristol Bay Borough, AK",48139
"02068","Denali Borough, AK*",45747
"02070","Dillingham Census Area, AK*",33251
"02090","Fairbanks North Star Borough, AK",40003
"02100","Haines Borough, AK",36137
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",45553
