"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2013"
"01001","Autauga, AL",35345
"01003","Baldwin, AL",37727
"01005","Barbour, AL",30081
"01007","Bibb, AL",27375
"01009","Blount, AL",29846
"01011","Bullock, AL",26008
"01013","Butler, AL",31572
"01015","Calhoun, AL",31347
"01017","Chambers, AL",29498
"01019","Cherokee, AL",30660
"01021","Chilton, AL",29508
"01023","Choctaw, AL",29135
"01025","Clarke, AL",29823
"01027","Clay, AL",30484
"01029","Cleburne, AL",29942
"01031","Coffee, AL",37126
"01033","Colbert, AL",33566
"01035","Conecuh, AL",28754
"01037","Coosa, AL",26605
"01039","Covington, AL",30347
"01041","Crenshaw, AL",32065
"01043","Cullman, AL",34141
"01045","Dale, AL",33416
"01047","Dallas, AL",30035
"01049","DeKalb, AL",27818
"01051","Elmore, AL",35447
"01053","Escambia, AL",28743
"01055","Etowah, AL",31680
"01057","Fayette, AL",28193
"01059","Franklin, AL",29425
"01061","Geneva, AL",30513
"01063","Greene, AL",31793
"01065","Hale, AL",33319
"01067","Henry, AL",34313
"01069","Houston, AL",36433
"01071","Jackson, AL",32119
"01073","Jefferson, AL",44605
"01075","Lamar, AL",28944
"01077","Lauderdale, AL",32838
"01079","Lawrence, AL",31016
"01081","Lee, AL",31413
"01083","Limestone, AL",35802
"01085","Lowndes, AL",35070
"01087","Macon, AL",29275
"01089","Madison, AL",43391
"01091","Marengo, AL",34093
"01093","Marion, AL",26918
"01095","Marshall, AL",31049
"01097","Mobile, AL",33459
"01099","Monroe, AL",28855
"01101","Montgomery, AL",37961
"01103","Morgan, AL",33956
"01105","Perry, AL",29336
"01107","Pickens, AL",31570
"01109","Pike, AL",31599
"01111","Randolph, AL",29846
"01113","Russell, AL",27921
"01115","St. Clair, AL",32020
"01117","Shelby, AL",45703
"01119","Sumter, AL",30379
"01121","Talladega, AL",29635
"01123","Tallapoosa, AL",34184
"01125","Tuscaloosa, AL",33897
"01127","Walker, AL",34737
"01129","Washington, AL",31734
"01131","Wilcox, AL",29108
"01133","Winston, AL",29720
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",39481
"02016","Aleutians West Census Area, AK*",50336
"02020","Anchorage Municipality, AK",57265
"02050","Bethel Census Area, AK*",35750
"02060","Bristol Bay Borough, AK",59879
"02068","Denali Borough, AK*",58736
"02070","Dillingham Census Area, AK*",47629
"02090","Fairbanks North Star Borough, AK",48564
"02100","Haines Borough, AK",43593
"02105","Hoonah-Angoon Census Area, AK*",48984
"02110","Juneau City and Borough, AK",58869
"02122","Kenai Peninsula Borough, AK",48351
"02130","Ketchikan Gateway Borough, AK*",58086
"02150","Kodiak Island Borough, AK",53256
