"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2010"
"01001","Autauga, AL",33452
"01003","Baldwin, AL",36090
"01005","Barbour, AL",27923
"01007","Bibb, AL",25003
"01009","Blount, AL",27600
"01011","Bullock, AL",23235
"01013","Butler, AL",28394
"01015","Calhoun, AL",30677
"01017","Chambers, AL",27330
"01019","Cherokee, AL",27818
"01021","Chilton, AL",27429
"01023","Choctaw, AL",26278
"01025","Clarke, AL",27910
"01027","Clay, AL",28854
"01029","Cleburne, AL",27286
"01031","Coffee, AL",35272
"01033","Colbert, AL",31755
"01035","Conecuh, AL",26308
"01037","Coosa, AL",23683
"01039","Covington, AL",29286
"01041","Crenshaw, AL",29596
"01043","Cullman, AL",30454
"01045","Dale, AL",32782
"01047","Dallas, AL",28172
"01049","DeKalb, AL",26892
"01051","Elmore, AL",33954
"01053","Escambia, AL",26435
"01055","Etowah, AL",30404
"01057","Fayette, AL",26026
"01059","Franklin, AL",28428
"01061","Geneva, AL",28934
"01063","Greene, AL",27195
"01065","Hale, AL",29583
"01067","Henry, AL",30968
"01069","Houston, AL",35427
"01071","Jackson, AL",29460
"01073","Jefferson, AL",42248
"01075","Lamar, AL",26491
"01077","Lauderdale, AL",31161
"01079","Lawrence, AL",27542
"01081","Lee, AL",29011
"01083","Limestone, AL",33470
"01085","Lowndes, AL",31030
"01087","Macon, AL",25712
"01089","Madison, AL",41570
"01091","Marengo, AL",30416
"01093","Marion, AL",25404
"01095","Marshall, AL",29654
"01097","Mobile, AL",31785
"01099","Monroe, AL",27478
"01101","Montgomery, AL",35593
"01103","Morgan, AL",32285
"01105","Perry, AL",26618
"01107","Pickens, AL",29248
"01109","Pike, AL",32040
"01111","Randolph, AL",28432
"01113","Russell, AL",27956
"01115","St. Clair, AL",29497
"01117","Shelby, AL",41572
"01119","Sumter, AL",26811
"01121","Talladega, AL",27691
"01123","Tallapoosa, AL",32502
"01125","Tuscaloosa, AL",31982
"01127","Walker, AL",32728
"01129","Washington, AL",29807
"01131","Wilcox, AL",25420
"01133","Winston, AL",27909
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",35949
"02016","Aleutians West Census Area, AK*",41086
"02020","Anchorage Municipality, AK",55887
"02050","Bethel Census Area, AK*",33373
"02060","Bristol Bay Borough, AK",53850
"02068","Denali Borough, AK*",56612
"02070","Dillingham Census Area, AK*",43144
"02090","Fairbanks North Star Borough, AK",45379
"02100","Haines Borough, AK",39121
"02105","Hoonah-Angoon Census Area, AK*",41187
"02110","Juneau City and Borough, AK",53978
"02122","Kenai Peninsula Borough, AK",43780
"02130","Ketchikan Gateway Borough, AK*",53595
"02150","Kodiak Island Borough, AK",49729
"02158","Kusilvak Census Area, AK*",25270
"02164","Lake and Peninsula Borough, AK*",42307
"02170","Matanuska-Susitna Borough, AK",39822
"02180","Nome Census Area, AK*",40246
"02185","North Slope Borough, AK",30658
"02188","Northwest Arctic Borough, AK",40181
"02195","Petersburg Borough, AK*",50355
"02198","Prince of Wales-Hyder Census Area, AK*",34792
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
