"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","1999"
"01001","Autauga, AL",22799
"01003","Baldwin, AL",25308
"01005","Barbour, AL",18911
"01007","Bibb, AL",16417
"01009","Blount, AL",19672
"01011","Bullock, AL",15997
"01013","Butler, AL",18282
"01015","Calhoun, AL",21427
"01017","Chambers, AL",19853
"01019","Cherokee, AL",18025
"01021","Chilton, AL",19405
"01023","Choctaw, AL",19425
"01025","Clarke, AL",19509
"01027","Clay, AL",19093
"01029","Cleburne, AL",18865
"01031","Coffee, AL",23957
"01033","Colbert, AL",20742
"01035","Conecuh, AL",19249
"01037","Coosa, AL",17665
"01039","Covington, AL",19427
"01041","Crenshaw, AL",21415
"01043","Cullman, AL",21975
"01045","Dale, AL",21074
"01047","Dallas, AL",18575
"01049","DeKalb, AL",20126
"01051","Elmore, AL",23068
"01053","Escambia, AL",18014
"01055","Etowah, AL",20797
"01057","Fayette, AL",18763
"01059","Franklin, AL",20092
"01061","Geneva, AL",20587
"01063","Greene, AL",16908
"01065","Hale, AL",16742
"01067","Henry, AL",19799
"01069","Houston, AL",24023
"01071","Jackson, AL",20549
"01073","Jefferson, AL",28931
"01075","Lamar, AL",18870
"01077","Lauderdale, AL",21624
"01079","Lawrence, AL",19791
"01081","Lee, AL",20193
"01083","Limestone, AL",21534
"01085","Lowndes, AL",16947
"01087","Macon, AL",15740
"01089","Madison, AL",27823
"01091","Marengo, AL",21447
"01093","Marion, AL",19053
"01095","Marshall, AL",21258
"01097","Mobile, AL",21308
"01099","Monroe, AL",19109
"01101","Montgomery, AL",26920
"01103","Morgan, AL",24609
"01105","Perry, AL",16714
"01107","Pickens, AL",19110
"01109","Pike, AL",21191
"01111","Randolph, AL",18021
"01113","Russell, AL",19097
"01115","St. Clair, AL",20886
"01117","Shelby, AL",32220
"01119","Sumter, AL",16756
"01121","Talladega, AL",18458
"01123","Tallapoosa, AL",21389
"01125","Tuscaloosa, AL",23931
"01127","Walker, AL",21208
"01129","Washington, AL",17651
"01131","Wilcox, AL",15718
"01133","Winston, AL",20002
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",21284
"02016","Aleutians West Census Area, AK*",23429
"02020","Anchorage Municipality, AK",33627
"02050","Bethel Census Area, AK*",19386
"02060","Bristol Bay Borough, AK",31416
"02068","Denali Borough, AK*",39001
"02070","Dillingham Census Area, AK*",26515
"02090","Fairbanks North Star Borough, AK",27229
"02100","Haines Borough, AK",31504
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",34820
"02122","Kenai Peninsula Borough, AK",26181
"02130","Ketchikan Gateway Borough, AK*",33691
"02150","Kodiak Island Borough, AK",27033
"02158","Kusilvak Census Area, AK*",14220
"02164","Lake and Peninsula Borough, AK*",20387
"02170","Matanuska-Susitna Borough, AK",25033
"02180","Nome Census Area, AK*",21959
"02185","North Slope Borough, AK",26565
"02188","Northwest Arctic Borough, AK",22065
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",21391
"02220","Sitka City and Borough, AK",28471
