"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2002"
"01001","Autauga, AL",24280
"01003","Baldwin, AL",27599
"01005","Barbour, AL",20108
"01007","Bibb, AL",17919
"01009","Blount, AL",20667
"01011","Bullock, AL",17967
"01013","Butler, AL",21871
"01015","Calhoun, AL",24091
"01017","Chambers, AL",22137
"01019","Cherokee, AL",20036
"01021","Chilton, AL",21145
"01023","Choctaw, AL",20624
"01025","Clarke, AL",20461
"01027","Clay, AL",20744
"01029","Cleburne, AL",20983
"01031","Coffee, AL",26506
"01033","Colbert, AL",22212
"01035","Conecuh, AL",20174
"01037","Coosa, AL",19394
"01039","Covington, AL",22390
"01041","Crenshaw, AL",21040
"01043","Cullman, AL",23432
"01045","Dale, AL",22689
"01047","Dallas, AL",20840
"01049","DeKalb, AL",21342
"01051","Elmore, AL",25317
"01053","Escambia, AL",18897
"01055","Etowah, AL",23269
"01057","Fayette, AL",18994
"01059","Franklin, AL",21147
"01061","Geneva, AL",22229
"01063","Greene, AL",18817
"01065","Hale, AL",18372
"01067","Henry, AL",22835
"01069","Houston, AL",27541
"01071","Jackson, AL",21954
"01073","Jefferson, AL",31935
"01075","Lamar, AL",20405
"01077","Lauderdale, AL",23499
"01079","Lawrence, AL",19328
"01081","Lee, AL",22250
"01083","Limestone, AL",23711
"01085","Lowndes, AL",17094
"01087","Macon, AL",17402
"01089","Madison, AL",30510
"01091","Marengo, AL",22494
"01093","Marion, AL",19640
"01095","Marshall, AL",23958
"01097","Mobile, AL",23453
"01099","Monroe, AL",19943
"01101","Montgomery, AL",29378
"01103","Morgan, AL",25350
"01105","Perry, AL",18156
"01107","Pickens, AL",20427
"01109","Pike, AL",22997
"01111","Randolph, AL",19861
"01113","Russell, AL",21152
"01115","St. Clair, AL",23149
"01117","Shelby, AL",35130
"01119","Sumter, AL",18211
"01121","Talladega, AL",21786
"01123","Tallapoosa, AL",21606
"01125","Tuscaloosa, AL",25733
"01127","Walker, AL",23721
"01129","Washington, AL",18593
"01131","Wilcox, AL",17641
"01133","Winston, AL",21304
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",27310
"02016","Aleutians West Census Area, AK*",24694
"02020","Anchorage Municipality, AK",39082
