"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2004"
"01001","Autauga, AL",27789
"01003","Baldwin, AL",30835
"01005","Barbour, AL",22694
"01007","Bibb, AL",20374
"01009","Blount, AL",22597
"01011","Bullock, AL",19614
"01013","Butler, AL",23584
"01015","Calhoun, AL",26493
"01017","Chambers, AL",23803
"01019","Cherokee, AL",22334
"01021","Chilton, AL",23285
"01023","Choctaw, AL",21722
"01025","Clarke, AL",22917
"01027","Clay, AL",24181
"01029","Cleburne, AL",23326
"01031","Coffee, AL",30228
"01033","Colbert, AL",25391
"01035","Conecuh, AL",21987
"01037","Coosa, AL",20941
"01039","Covington, AL",24799
"01041","Crenshaw, AL",24623
"01043","Cullman, AL",26778
"01045","Dale, AL",25310
"01047","Dallas, AL",23586
"01049","DeKalb, AL",23729
"01051","Elmore, AL",28138
"01053","Escambia, AL",21010
"01055","Etowah, AL",25266
"01057","Fayette, AL",21174
"01059","Franklin, AL",23871
"01061","Geneva, AL",23658
"01063","Greene, AL",22164
"01065","Hale, AL",22052
"01067","Henry, AL",24351
"01069","Houston, AL",30197
"01071","Jackson, AL",24893
"01073","Jefferson, AL",36552
"01075","Lamar, AL",21199
"01077","Lauderdale, AL",25487
"01079","Lawrence, AL",21939
"01081","Lee, AL",25498
"01083","Limestone, AL",27856
"01085","Lowndes, AL",21486
"01087","Macon, AL",20306
"01089","Madison, AL",33402
"01091","Marengo, AL",25447
"01093","Marion, AL",22595
"01095","Marshall, AL",26751
"01097","Mobile, AL",25118
"01099","Monroe, AL",23356
"01101","Montgomery, AL",32394
"01103","Morgan, AL",27904
"01105","Perry, AL",21133
"01107","Pickens, AL",24020
"01109","Pike, AL",26471
"01111","Randolph, AL",23025
"01113","Russell, AL",23011
"01115","St. Clair, AL",26084
"01117","Shelby, AL",36584
"01119","Sumter, AL",20033
"01121","Talladega, AL",24529
"01123","Tallapoosa, AL",25058
"01125","Tuscaloosa, AL",27610
"01127","Walker, AL",26214
"01129","Washington, AL",22644
"01131","Wilcox, AL",19937
"01133","Winston, AL",23936
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",30589
"02016","Aleutians West Census Area, AK*",29080
"02020","Anchorage Municipality, AK",41909
"02050","Bethel Census Area, AK*",27476
"02060","Bristol Bay Borough, AK",38199
"02068","Denali Borough, AK*",41900
"02070","Dillingham Census Area, AK*",30329
"02090","Fairbanks North Star Borough, AK",33828
"02100","Haines Borough, AK",33386
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",41016
"02122","Kenai Peninsula Borough, AK",32707
"02130","Ketchikan Gateway Borough, AK*",40979
"02150","Kodiak Island Borough, AK",35481
"02158","Kusilvak Census Area, AK*",18859
"02164","Lake and Peninsula Borough, AK*",31512
"02170","Matanuska-Susitna Borough, AK",32980
"02180","Nome Census Area, AK*",28733
"02185","North Slope Borough, AK",23815
"02188","Northwest Arctic Borough, AK",26325
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",25415
"02220","Sitka City and Borough, AK",36256
"02230","Skagway Municipality, AK*","(NA)"
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*",33612
"02240","Southeast Fairbanks Census Area, AK*",29529
"02261","Valdez-Cordova Census Area, AK*",36572
"02275","Wrangell City and Borough, AK*","(NA)"
"02280","Wrangell-Petersburg Census Area, AK*",35655
"02282","Yakutat City and Borough, AK*",38802
"02290","Yukon-Koyukuk Census Area, AK*",27402
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
