"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2000"
"01001","Autauga, AL",23537
"01003","Baldwin, AL",26678
"01005","Barbour, AL",18882
"01007","Bibb, AL",17617
"01009","Blount, AL",20228
"01011","Bullock, AL",15728
"01013","Butler, AL",19048
"01015","Calhoun, AL",22061
"01017","Chambers, AL",20280
"01019","Cherokee, AL",18518
"01021","Chilton, AL",19595
"01023","Choctaw, AL",19553
"01025","Clarke, AL",20280
"01027","Clay, AL",18936
"01029","Cleburne, AL",18630
"01031","Coffee, AL",24223
"01033","Colbert, AL",21432
"01035","Conecuh, AL",19607
"01037","Coosa, AL",18589
"01039","Covington, AL",19922
"01041","Crenshaw, AL",21806
"01043","Cullman, AL",22135
"01045","Dale, AL",21457
"01047","Dallas, AL",19595
"01049","DeKalb, AL",20674
"01051","Elmore, AL",23944
"01053","Escambia, AL",19015
"01055","Etowah, AL",21710
"01057","Fayette, AL",19090
"01059","Franklin, AL",20195
"01061","Geneva, AL",20248
"01063","Greene, AL",17892
"01065","Hale, AL",16421
"01067","Henry, AL",19665
"01069","Houston, AL",24861
"01071","Jackson, AL",22051
"01073","Jefferson, AL",31201
"01075","Lamar, AL",19138
"01077","Lauderdale, AL",22340
"01079","Lawrence, AL",19937
"01081","Lee, AL",20806
"01083","Limestone, AL",22511
"01085","Lowndes, AL",17764
"01087","Macon, AL",16066
"01089","Madison, AL",29676
"01091","Marengo, AL",21742
"01093","Marion, AL",18697
"01095","Marshall, AL",21937
"01097","Mobile, AL",21989
"01099","Monroe, AL",19438
"01101","Montgomery, AL",28223
"01103","Morgan, AL",25235
"01105","Perry, AL",17402
"01107","Pickens, AL",19097
"01109","Pike, AL",21076
"01111","Randolph, AL",18414
"01113","Russell, AL",19866
"01115","St. Clair, AL",21535
"01117","Shelby, AL",32952
"01119","Sumter, AL",17218
"01121","Talladega, AL",19111
"01123","Tallapoosa, AL",21781
"01125","Tuscaloosa, AL",24796
"01127","Walker, AL",21581
"01129","Washington, AL",18321
"01131","Wilcox, AL",16208
"01133","Winston, AL",19232
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",21826
"02016","Aleutians West Census Area, AK*",21131
"02020","Anchorage Municipality, AK",35718
"02050","Bethel Census Area, AK*",21081
"02060","Bristol Bay Borough, AK",36463
"02068","Denali Borough, AK*",39037
"02070","Dillingham Census Area, AK*",28435
"02090","Fairbanks North Star Borough, AK",29453
"02100","Haines Borough, AK",34514
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",37701
"02122","Kenai Peninsula Borough, AK",29724
"02130","Ketchikan Gateway Borough, AK*",36963
"02150","Kodiak Island Borough, AK",29025
"02158","Kusilvak Census Area, AK*",15322
"02164","Lake and Peninsula Borough, AK*",23021
"02170","Matanuska-Susitna Borough, AK",26779
"02180","Nome Census Area, AK*",22864
"02185","North Slope Borough, AK",28334
"02188","Northwest Arctic Borough, AK",24592
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",22562
"02220","Sitka City and Borough, AK",30817
"02230","Skagway Municipality, AK*","(NA)"
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*",31534
"02240","Southeast Fairbanks Census Area, AK*",23760
"02261","Valdez-Cordova Census Area, AK*",32400
"02275","Wrangell City and Borough, AK*","(NA)"
"02280","Wrangell-Petersburg Census Area, AK*",30449
"02282","Yakutat City and Borough, AK*",29383
"02290","Yukon-Koyukuk Census Area, AK*",20766
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
"02921","Seward Division, AK*","(NA)"
"02922","Sitka Division, AK*","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)"
"02925","Upper Yukon Division, AK*","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)"
"04001","Apache, AZ",14273
"04003","Cochise, AZ",20695
"04005","Coconino, AZ",23760
"04007","Gila, AZ",19585
"04009","Graham, AZ",14915
"04011","Greenlee, AZ",23732
"04012","La Paz, AZ*",15760
"04013","Maricopa, AZ",29517
"04015","Mohave, AZ",19115
"04017","Navajo, AZ",15096
"04019","Pima, AZ",24799
"04021","Pinal, AZ",17421
"04023","Santa Cruz, AZ",17253
"04025","Yavapai, AZ",21801
"04027","Yuma, AZ*",17941
"05001","Arkansas, AR",23052
"05003","Ashley, AR",21746
"05005","Baxter, AR",22373
"05007","Benton, AR",31656
"05009","Boone, AR",21265
"05011","Bradley, AR",18239
"05013","Calhoun, AR",19061
"05015","Carroll, AR",18664
"05017","Chicot, AR",18558
"05019","Clark, AR",18963
"05021","Clay, AR",20075
"05023","Cleburne, AR",22043
"05025","Cleveland, AR",21580
"05027","Columbia, AR",21191
"05029","Conway, AR",22427
"05031","Craighead, AR",22448
"05033","Crawford, AR",19029
"05035","Crittenden, AR",20274
"05037","Cross, AR",19032
"05039","Dallas, AR",20350
"05041","Desha, AR",18637
"05043","Drew, AR",20018
"05045","Faulkner, AR",22766
"05047","Franklin, AR",19805
"05049","Fulton, AR",17131
"05051","Garland, AR",23864
"05053","Grant, AR",22644
"05055","Greene, AR",19834
"05057","Hempstead, AR",19527
"05059","Hot Spring, AR",18611
"05061","Howard, AR",21541
"05063","Independence, AR",21194
"05065","Izard, AR",17943
"05067","Jackson, AR",20568
"05069","Jefferson, AR",20020
"05071","Johnson, AR",18349
"05073","Lafayette, AR",19451
"05075","Lawrence, AR",18788
"05077","Lee, AR",15779
"05079","Lincoln, AR",16036
"05081","Little River, AR",20156
"05083","Logan, AR",18645
"05085","Lonoke, AR",22856
"05087","Madison, AR",19352
"05089","Marion, AR",17423
"05091","Miller, AR",21799
"05093","Mississippi, AR",18748
"05095","Monroe, AR",18390
"05097","Montgomery, AR",18264
"05099","Nevada, AR",19111
"05101","Newton, AR",15189
"05103","Ouachita, AR",19471
"05105","Perry, AR",20644
"05107","Phillips, AR",17603
"05109","Pike, AR",18007
"05111","Poinsett, AR",18765
"05113","Polk, AR",17646
"05115","Pope, AR",21229
"05117","Prairie, AR",19992
"05119","Pulaski, AR",30427
"05121","Randolph, AR",17646
"05123","St. Francis, AR",16760
"05125","Saline, AR",23408
"05127","Scott, AR",18657
"05129","Searcy, AR",15895
"05131","Sebastian, AR",25742
"05133","Sevier, AR",20113
"05135","Sharp, AR",16807
"05137","Stone, AR",17382
"05139","Union, AR",25679
"05141","Van Buren, AR",17931
"05143","Washington, AR",22116
"05145","White, AR",19326
"05147","Woodruff, AR",18693
"05149","Yell, AR",19886
"06001","Alameda, CA",38835
"06003","Alpine, CA",27832
"06005","Amador, CA",24374
"06007","Butte, CA",22969
"06009","Calaveras, CA",26017
"06011","Colusa, CA",26040
"06013","Contra Costa, CA",44952
"06015","Del Norte, CA",18717
"06017","El Dorado, CA",36962
"06019","Fresno, CA",22788
"06021","Glenn, CA",19793
"06023","Humboldt, CA",23773
"06025","Imperial, CA",18818
"06027","Inyo, CA",25557
"06029","Kern, CA",21197
"06031","Kings, CA",17255
"06033","Lake, CA",23881
"06035","Lassen, CA",18310
"06037","Los Angeles, CA",29771
"06039","Madera, CA",18833
"06041","Marin, CA",69448
"06043","Mariposa, CA",22552
"06045","Mendocino, CA",25341
"06047","Merced, CA",19749
"06049","Modoc, CA",20654
"06051","Mono, CA",26472
"06053","Monterey, CA",31556
"06055","Napa, CA",38282
"06057","Nevada, CA",31369
"06059","Orange, CA",37818
"06061","Placer, CA",37405
"06063","Plumas, CA",25826
"06065","Riverside, CA",24222
"06067","Sacramento, CA",29484
"06069","San Benito, CA",29177
"06071","San Bernardino, CA",22476
"06073","San Diego, CA",33560
"06075","San Francisco, CA",56326
"06077","San Joaquin, CA",24889
"06079","San Luis Obispo, CA",28119
"06081","San Mateo, CA",60755
"06083","Santa Barbara, CA",33422
"06085","Santa Clara, CA",54510
"06087","Santa Cruz, CA",39764
"06089","Shasta, CA",25338
"06091","Sierra, CA",23359
"06093","Siskiyou, CA",22930
"06095","Solano, CA",28104
"06097","Sonoma, CA",36677
"06099","Stanislaus, CA",24044
"06101","Sutter, CA",25747
"06103","Tehama, CA",19478
"06105","Trinity, CA",20560
"06107","Tulare, CA",19843
"06109","Tuolumne, CA",23860
"06111","Ventura, CA",33872
"06113","Yolo, CA",27245
"06115","Yuba, CA",19933
"08001","Adams, CO*",27040
"08003","Alamosa, CO",22302
"08005","Arapahoe, CO",42708
"08007","Archuleta, CO",20142
"08009","Baca, CO",24648
"08011","Bent, CO",19559
"08013","Boulder, CO*",41536
"08014","Broomfield, CO*","(NA)"
"08015","Chaffee, CO",22536
"08017","Cheyenne, CO",28706
"08019","Clear Creek, CO",35668
"08021","Conejos, CO",16231
"08023","Costilla, CO",19204
"08025","Crowley, CO",16017
"08027","Custer, CO",22400
"08029","Delta, CO",21757
"08031","Denver, CO",39345
"08033","Dolores, CO",20355
"08035","Douglas, CO",44074
"08037","Eagle, CO",40180
"08039","Elbert, CO",31998
"08041","El Paso, CO",30783
"08043","Fremont, CO",19347
"08045","Garfield, CO",31236
"08047","Gilpin, CO",35105
"08049","Grand, CO",29013
"08051","Gunnison, CO",23869
"08053","Hinsdale, CO",23138
"08055","Huerfano, CO",17980
"08057","Jackson, CO",21297
"08059","Jefferson, CO*",38513
"08061","Kiowa, CO",30989
"08063","Kit Carson, CO",25518
"08065","Lake, CO",20901
"08067","La Plata, CO",28490
"08069","Larimer, CO",30799
"08071","Las Animas, CO",20827
"08073","Lincoln, CO",18363
"08075","Logan, CO",24229
"08077","Mesa, CO",25694
"08079","Mineral, CO",23383
"08081","Moffat, CO",23478
"08083","Montezuma, CO",23024
"08085","Montrose, CO",23134
"08087","Morgan, CO",22135
"08089","Otero, CO",23012
"08091","Ouray, CO",27255
"08093","Park, CO",30023
"08095","Phillips, CO",26075
"08097","Pitkin, CO",81727
"08099","Prowers, CO",22425
"08101","Pueblo, CO",23667
"08103","Rio Blanco, CO",24860
"08105","Rio Grande, CO",23158
"08107","Routt, CO",34594
"08109","Saguache, CO",18075
"08111","San Juan, CO",25363
"08113","San Miguel, CO",37976
"08115","Sedgwick, CO",24981
"08117","Summit, CO",35960
"08119","Teller, CO",30952
"08121","Washington, CO",22439
"08123","Weld, CO*",25455
"08125","Yuma, CO",26832
"09001","Fairfield, CT",62928
"09003","Hartford, CT",38524
"09005","Litchfield, CT",39350
"09007","Middlesex, CT",39070
"09009","New Haven, CT",35440
"09011","New London, CT",33871
"09013","Tolland, CT",33846
"09015","Windham, CT",27779
"10001","Kent, DE",27493
"10003","New Castle, DE",38407
"10005","Sussex, DE",27351
"11001","District of Columbia, DC",42903
"12001","Alachua, FL",24990
"12003","Baker, FL",20005
"12005","Bay, FL",24878
"12007","Bradford, FL",19505
"12009","Brevard, FL",27967
"12011","Broward, FL",31505
"12013","Calhoun, FL",16567
"12015","Charlotte, FL",26556
"12017","Citrus, FL",22879
"12019","Clay, FL",27521
"12021","Collier, FL",43012
"12023","Columbia, FL",19443
"12027","DeSoto, FL",17319
"12029","Dixie, FL",16143
"12031","Duval, FL",30126
"12033","Escambia, FL",24478
"12035","Flagler, FL",24339
"12037","Franklin, FL",22152
"12039","Gadsden, FL",20305
"12041","Gilchrist, FL",20570
"12043","Glades, FL",17528
"12045","Gulf, FL",17120
"12047","Hamilton, FL",14637
"12049","Hardee, FL",18048
"12051","Hendry, FL",20591
"12053","Hernando, FL",24363
"12055","Highlands, FL",20929
"12057","Hillsborough, FL",29406
"12059","Holmes, FL",18278
"12061","Indian River, FL",39755
"12063","Jackson, FL",18950
"12065","Jefferson, FL",24999
"12067","Lafayette, FL",15565
"12069","Lake, FL",26321
"12071","Lee, FL",29489
"12073","Leon, FL",27361
"12075","Levy, FL",19115
"12077","Liberty, FL",17780
"12079","Madison, FL",17493
"12081","Manatee, FL",31967
"12083","Marion, FL",23603
"12085","Martin, FL",44684
"12086","Miami-Dade, FL",26934
"12087","Monroe, FL",41240
"12089","Nassau, FL",31120
"12091","Okaloosa, FL",29349
"12093","Okeechobee, FL",17769
"12095","Orange, FL",27979
"12097","Osceola, FL",20727
"12099","Palm Beach, FL",46533
"12101","Pasco, FL",22996
"12103","Pinellas, FL",32689
"12105","Polk, FL",24342
"12107","Putnam, FL",18986
