"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2014"
"01001","Autauga, AL",36571
"01003","Baldwin, AL",39028
"01005","Barbour, AL",30197
"01007","Bibb, AL",28127
"01009","Blount, AL",30946
"01011","Bullock, AL",25350
"01013","Butler, AL",32775
"01015","Calhoun, AL",32448
"01017","Chambers, AL",30271
"01019","Cherokee, AL",31688
"01021","Chilton, AL",30304
"01023","Choctaw, AL",30025
"01025","Clarke, AL",31193
"01027","Clay, AL",31720
"01029","Cleburne, AL",30692
"01031","Coffee, AL",37974
"01033","Colbert, AL",34957
"01035","Conecuh, AL",28624
"01037","Coosa, AL",27340
"01039","Covington, AL",31196
"01041","Crenshaw, AL",32889
"01043","Cullman, AL",34950
"01045","Dale, AL",33608
"01047","Dallas, AL",30371
"01049","DeKalb, AL",28751
"01051","Elmore, AL",36334
"01053","Escambia, AL",29590
"01055","Etowah, AL",32943
"01057","Fayette, AL",29109
"01059","Franklin, AL",30630
"01061","Geneva, AL",31267
"01063","Greene, AL",29843
"01065","Hale, AL",33215
"01067","Henry, AL",35044
"01069","Houston, AL",37288
"01071","Jackson, AL",33084
"01073","Jefferson, AL",46426
"01075","Lamar, AL",29333
"01077","Lauderdale, AL",34341
"01079","Lawrence, AL",31964
"01081","Lee, AL",32509
"01083","Limestone, AL",36360
"01085","Lowndes, AL",36519
"01087","Macon, AL",30431
"01089","Madison, AL",44642
"01091","Marengo, AL",35186
"01093","Marion, AL",28206
"01095","Marshall, AL",32143
"01097","Mobile, AL",34190
"01099","Monroe, AL",29829
"01101","Montgomery, AL",39184
"01103","Morgan, AL",35237
"01105","Perry, AL",28029
"01107","Pickens, AL",30152
"01109","Pike, AL",33959
"01111","Randolph, AL",31581
"01113","Russell, AL",27955
"01115","St. Clair, AL",33395
"01117","Shelby, AL",47730
"01119","Sumter, AL",30445
"01121","Talladega, AL",30827
"01123","Tallapoosa, AL",34756
"01125","Tuscaloosa, AL",34994
"01127","Walker, AL",35763
"01129","Washington, AL",32962
"01131","Wilcox, AL",27483
"01133","Winston, AL",31511
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",40794
"02016","Aleutians West Census Area, AK*",52484
"02020","Anchorage Municipality, AK",60909
"02050","Bethel Census Area, AK*",38426
"02060","Bristol Bay Borough, AK",63470
"02068","Denali Borough, AK*",67559
"02070","Dillingham Census Area, AK*",51861
"02090","Fairbanks North Star Borough, AK",51892
"02100","Haines Borough, AK",46126
"02105","Hoonah-Angoon Census Area, AK*",53529
"02110","Juneau City and Borough, AK",61600
"02122","Kenai Peninsula Borough, AK",51734
"02130","Ketchikan Gateway Borough, AK*",60957
"02150","Kodiak Island Borough, AK",56537
"02158","Kusilvak Census Area, AK*",30184
"02164","Lake and Peninsula Borough, AK*",52172
"02170","Matanuska-Susitna Borough, AK",45320
"02180","Nome Census Area, AK*",47064
"02185","North Slope Borough, AK",36005
"02188","Northwest Arctic Borough, AK",45849
"02195","Petersburg Borough, AK*",63866
"02198","Prince of Wales-Hyder Census Area, AK*",39055
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
"02220","Sitka City and Borough, AK",64202
"02230","Skagway Municipality, AK*",84280
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",40831
"02261","Valdez-Cordova Census Area, AK*",59975
"02275","Wrangell City and Borough, AK*",46830
"02280","Wrangell-Petersburg Census Area, AK*","(NA)"
