"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2005"
"01001","Autauga, AL",28598
"01003","Baldwin, AL",32989
"01005","Barbour, AL",23906
"01007","Bibb, AL",20381
"01009","Blount, AL",23815
"01011","Bullock, AL",19817
"01013","Butler, AL",24190
"01015","Calhoun, AL",27216
"01017","Chambers, AL",24658
"01019","Cherokee, AL",23188
"01021","Chilton, AL",24328
"01023","Choctaw, AL",22067
"01025","Clarke, AL",23657
"01027","Clay, AL",26119
"01029","Cleburne, AL",24578
"01031","Coffee, AL",30715
"01033","Colbert, AL",26864
"01035","Conecuh, AL",23214
"01037","Coosa, AL",23368
"01039","Covington, AL",24943
"01041","Crenshaw, AL",27013
"01043","Cullman, AL",28001
"01045","Dale, AL",27375
"01047","Dallas, AL",24412
"01049","DeKalb, AL",23392
"01051","Elmore, AL",28729
"01053","Escambia, AL",22565
"01055","Etowah, AL",26033
"01057","Fayette, AL",21853
"01059","Franklin, AL",24835
"01061","Geneva, AL",24919
"01063","Greene, AL",23126
"01065","Hale, AL",23564
"01067","Henry, AL",27345
"01069","Houston, AL",31749
"01071","Jackson, AL",26149
"01073","Jefferson, AL",37711
"01075","Lamar, AL",22429
"01077","Lauderdale, AL",26813
"01079","Lawrence, AL",22556
"01081","Lee, AL",26270
"01083","Limestone, AL",30287
"01085","Lowndes, AL",22671
"01087","Macon, AL",21011
"01089","Madison, AL",35195
"01091","Marengo, AL",26896
"01093","Marion, AL",24157
"01095","Marshall, AL",27330
"01097","Mobile, AL",26986
"01099","Monroe, AL",24095
"01101","Montgomery, AL",33589
"01103","Morgan, AL",28605
"01105","Perry, AL",22524
"01107","Pickens, AL",26007
"01109","Pike, AL",27462
"01111","Randolph, AL",23707
"01113","Russell, AL",23539
"01115","St. Clair, AL",27258
"01117","Shelby, AL",41991
"01119","Sumter, AL",20626
"01121","Talladega, AL",25917
"01123","Tallapoosa, AL",26161
"01125","Tuscaloosa, AL",29431
"01127","Walker, AL",27745
"01129","Washington, AL",22940
"01131","Wilcox, AL",20047
"01133","Winston, AL",25392
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",32948
"02016","Aleutians West Census Area, AK*",31077
"02020","Anchorage Municipality, AK",44255
"02050","Bethel Census Area, AK*",27838
"02060","Bristol Bay Borough, AK",43123
"02068","Denali Borough, AK*",45142
"02070","Dillingham Census Area, AK*",31796
"02090","Fairbanks North Star Borough, AK",36579
"02100","Haines Borough, AK",34486
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",43265
"02122","Kenai Peninsula Borough, AK",34200
"02130","Ketchikan Gateway Borough, AK*",43693
"02150","Kodiak Island Borough, AK",37559
"02158","Kusilvak Census Area, AK*",19472
"02164","Lake and Peninsula Borough, AK*",29441
"02170","Matanuska-Susitna Borough, AK",34680
"02180","Nome Census Area, AK*",29806
"02185","North Slope Borough, AK",22670
"02188","Northwest Arctic Borough, AK",28989
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",26478
"02220","Sitka City and Borough, AK",38174
"02230","Skagway Municipality, AK*","(NA)"
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*",35816
"02240","Southeast Fairbanks Census Area, AK*",33379
"02261","Valdez-Cordova Census Area, AK*",38797
"02275","Wrangell City and Borough, AK*","(NA)"
"02280","Wrangell-Petersburg Census Area, AK*",38078
"02282","Yakutat City and Borough, AK*",39174
"02290","Yukon-Koyukuk Census Area, AK*",29058
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
"02921","Seward Division, AK*","(NA)"
"02922","Sitka Division, AK*","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)"
"02925","Upper Yukon Division, AK*","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)"
"04001","Apache, AZ",20474
"04003","Cochise, AZ",28411
"04005","Coconino, AZ",29356
"04007","Gila, AZ",24635
"04009","Graham, AZ",19875
"04011","Greenlee, AZ",22626
"04012","La Paz, AZ*",22146
"04013","Maricopa, AZ",35510
"04015","Mohave, AZ",23521
"04017","Navajo, AZ",20479
"04019","Pima, AZ",31046
"04021","Pinal, AZ",24419
"04023","Santa Cruz, AZ",23977
"04025","Yavapai, AZ",27568
"04027","Yuma, AZ*",23983
"05001","Arkansas, AR",27097
"05003","Ashley, AR",24978
"05005","Baxter, AR",26007
"05007","Benton, AR",42399
"05009","Boone, AR",24597
"05011","Bradley, AR",23693
"05013","Calhoun, AR",22348
"05015","Carroll, AR",22457
"05017","Chicot, AR",22416
"05019","Clark, AR",23073
"05021","Clay, AR",23245
"05023","Cleburne, AR",24692
"05025","Cleveland, AR",26595
"05027","Columbia, AR",25255
"05029","Conway, AR",24832
"05031","Craighead, AR",25921
"05033","Crawford, AR",22440
"05035","Crittenden, AR",24501
"05037","Cross, AR",22922
"05039","Dallas, AR",23109
"05041","Desha, AR",24066
"05043","Drew, AR",25353
"05045","Faulkner, AR",25939
"05047","Franklin, AR",23315
"05049","Fulton, AR",18331
"05051","Garland, AR",28524
"05053","Grant, AR",25622
"05055","Greene, AR",23264
"05057","Hempstead, AR",22271
"05059","Hot Spring, AR",22840
"05061","Howard, AR",24635
"05063","Independence, AR",26041
"05065","Izard, AR",21129
"05067","Jackson, AR",22335
