"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2011"
"01001","Autauga, AL",34303
"01003","Baldwin, AL",37472
"01005","Barbour, AL",28202
"01007","Bibb, AL",25939
"01009","Blount, AL",28133
"01011","Bullock, AL",24181
"01013","Butler, AL",28930
"01015","Calhoun, AL",31447
"01017","Chambers, AL",28595
"01019","Cherokee, AL",28351
"01021","Chilton, AL",28625
"01023","Choctaw, AL",27218
"01025","Clarke, AL",28573
"01027","Clay, AL",28362
"01029","Cleburne, AL",27942
"01031","Coffee, AL",35581
"01033","Colbert, AL",32824
"01035","Conecuh, AL",26781
"01037","Coosa, AL",25455
"01039","Covington, AL",28991
"01041","Crenshaw, AL",28534
"01043","Cullman, AL",30951
"01045","Dale, AL",33555
"01047","Dallas, AL",29517
"01049","DeKalb, AL",25650
"01051","Elmore, AL",35064
"01053","Escambia, AL",27410
"01055","Etowah, AL",30917
"01057","Fayette, AL",26549
"01059","Franklin, AL",28569
"01061","Geneva, AL",29182
"01063","Greene, AL",28602
"01065","Hale, AL",31195
"01067","Henry, AL",32191
"01069","Houston, AL",36336
"01071","Jackson, AL",30269
"01073","Jefferson, AL",43241
"01075","Lamar, AL",27790
"01077","Lauderdale, AL",32116
"01079","Lawrence, AL",28222
"01081","Lee, AL",30267
"01083","Limestone, AL",34854
"01085","Lowndes, AL",31404
"01087","Macon, AL",26840
"01089","Madison, AL",43053
"01091","Marengo, AL",31512
"01093","Marion, AL",25285
"01095","Marshall, AL",29480
"01097","Mobile, AL",33383
"01099","Monroe, AL",27689
"01101","Montgomery, AL",36905
"01103","Morgan, AL",32827
"01105","Perry, AL",27507
"01107","Pickens, AL",29484
"01109","Pike, AL",32798
"01111","Randolph, AL",27692
"01113","Russell, AL",29105
"01115","St. Clair, AL",30637
"01117","Shelby, AL",43588
"01119","Sumter, AL",27260
"01121","Talladega, AL",28658
"01123","Tallapoosa, AL",32586
"01125","Tuscaloosa, AL",32861
"01127","Walker, AL",34097
"01129","Washington, AL",30619
"01131","Wilcox, AL",26060
"01133","Winston, AL",28130
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",37692
"02016","Aleutians West Census Area, AK*",45834
"02020","Anchorage Municipality, AK",58207
"02050","Bethel Census Area, AK*",35840
"02060","Bristol Bay Borough, AK",53119
"02068","Denali Borough, AK*",59266
"02070","Dillingham Census Area, AK*",46170
"02090","Fairbanks North Star Borough, AK",50269
"02100","Haines Borough, AK",41594
"02105","Hoonah-Angoon Census Area, AK*",44686
"02110","Juneau City and Borough, AK",56871
"02122","Kenai Peninsula Borough, AK",46600
"02130","Ketchikan Gateway Borough, AK*",55795
"02150","Kodiak Island Borough, AK",52198
"02158","Kusilvak Census Area, AK*",26990
"02164","Lake and Peninsula Borough, AK*",46407
"02170","Matanuska-Susitna Borough, AK",42571
"02180","Nome Census Area, AK*",41670
"02185","North Slope Borough, AK",31454
"02188","Northwest Arctic Borough, AK",40062
"02195","Petersburg Borough, AK*",54468
"02198","Prince of Wales-Hyder Census Area, AK*",34918
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
"02220","Sitka City and Borough, AK",57608
"02230","Skagway Municipality, AK*",76730
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",40152
"02261","Valdez-Cordova Census Area, AK*",54032
"02275","Wrangell City and Borough, AK*",40990
"02280","Wrangell-Petersburg Census Area, AK*","(NA)"
"02282","Yakutat City and Borough, AK*",52419
"02290","Yukon-Koyukuk Census Area, AK*",47760
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
