"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001"
"01001","Autauga, AL",24344
"01003","Baldwin, AL",27129
"01005","Barbour, AL",19988
"01007","Bibb, AL",17670
"01009","Blount, AL",21402
"01011","Bullock, AL",17311
"01013","Butler, AL",20781
"01015","Calhoun, AL",23222
"01017","Chambers, AL",21312
"01019","Cherokee, AL",19829
"01021","Chilton, AL",20889
"01023","Choctaw, AL",19893
"01025","Clarke, AL",20106
"01027","Clay, AL",20134
"01029","Cleburne, AL",20828
"01031","Coffee, AL",25846
"01033","Colbert, AL",21631
"01035","Conecuh, AL",19998
"01037","Coosa, AL",19353
"01039","Covington, AL",21790
"01041","Crenshaw, AL",22444
"01043","Cullman, AL",23507
"01045","Dale, AL",22011
"01047","Dallas, AL",20352
"01049","DeKalb, AL",21088
"01051","Elmore, AL",24100
"01053","Escambia, AL",19379
"01055","Etowah, AL",22519
"01057","Fayette, AL",19756
"01059","Franklin, AL",21227
"01061","Geneva, AL",22373
"01063","Greene, AL",18724
"01065","Hale, AL",17203
"01067","Henry, AL",21463
"01069","Houston, AL",26858
"01071","Jackson, AL",22040
"01073","Jefferson, AL",31065
"01075","Lamar, AL",20149
"01077","Lauderdale, AL",23520
"01079","Lawrence, AL",20879
"01081","Lee, AL",21363
"01083","Limestone, AL",22924
"01085","Lowndes, AL",18756
"01087","Macon, AL",17301
"01089","Madison, AL",29892
"01091","Marengo, AL",22212
"01093","Marion, AL",19023
"01095","Marshall, AL",24268
"01097","Mobile, AL",23015
"01099","Monroe, AL",20305
"01101","Montgomery, AL",28282
"01103","Morgan, AL",25517
"01105","Perry, AL",18104
"01107","Pickens, AL",20276
"01109","Pike, AL",22179
"01111","Randolph, AL",19355
"01113","Russell, AL",21423
"01115","St. Clair, AL",22955
"01117","Shelby, AL",35267
"01119","Sumter, AL",17560
"01121","Talladega, AL",20371
"01123","Tallapoosa, AL",22392
"01125","Tuscaloosa, AL",25150
"01127","Walker, AL",22914
"01129","Washington, AL",18815
"01131","Wilcox, AL",17235
"01133","Winston, AL",21141
