"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2012"
"01001","Autauga, AL",34954
"01003","Baldwin, AL",37639
"01005","Barbour, AL",28037
"01007","Bibb, AL",26999
"01009","Blount, AL",29240
"01011","Bullock, AL",24246
"01013","Butler, AL",30233
"01015","Calhoun, AL",31723
"01017","Chambers, AL",29200
"01019","Cherokee, AL",29304
"01021","Chilton, AL",29274
"01023","Choctaw, AL",28400
"01025","Clarke, AL",28812
"01027","Clay, AL",29462
"01029","Cleburne, AL",29114
"01031","Coffee, AL",35852
"01033","Colbert, AL",33046
"01035","Conecuh, AL",27083
"01037","Coosa, AL",26119
"01039","Covington, AL",29884
"01041","Crenshaw, AL",29509
"01043","Cullman, AL",32480
"01045","Dale, AL",33119
"01047","Dallas, AL",29538
"01049","DeKalb, AL",26878
"01051","Elmore, AL",35552
"01053","Escambia, AL",28472
"01055","Etowah, AL",31506
"01057","Fayette, AL",27677
"01059","Franklin, AL",28992
"01061","Geneva, AL",29401
"01063","Greene, AL",28654
"01065","Hale, AL",31690
"01067","Henry, AL",33199
"01069","Houston, AL",36498
"01071","Jackson, AL",31400
"01073","Jefferson, AL",45118
"01075","Lamar, AL",28624
"01077","Lauderdale, AL",32616
"01079","Lawrence, AL",29372
"01081","Lee, AL",31295
"01083","Limestone, AL",35747
"01085","Lowndes, AL",32904
"01087","Macon, AL",27818
"01089","Madison, AL",43636
"01091","Marengo, AL",32425
"01093","Marion, AL",26198
"01095","Marshall, AL",30757
"01097","Mobile, AL",33016
"01099","Monroe, AL",28002
"01101","Montgomery, AL",37137
"01103","Morgan, AL",33551
"01105","Perry, AL",27923
"01107","Pickens, AL",30305
"01109","Pike, AL",32203
"01111","Randolph, AL",28782
"01113","Russell, AL",28433
"01115","St. Clair, AL",31948
"01117","Shelby, AL",45597
"01119","Sumter, AL",28306
"01121","Talladega, AL",29240
"01123","Tallapoosa, AL",33735
"01125","Tuscaloosa, AL",33729
"01127","Walker, AL",34596
"01129","Washington, AL",31226
"01131","Wilcox, AL",26276
"01133","Winston, AL",29174
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",37134
"02016","Aleutians West Census Area, AK*",50516
"02020","Anchorage Municipality, AK",59182
"02050","Bethel Census Area, AK*",36668
"02060","Bristol Bay Borough, AK",58105
"02068","Denali Borough, AK*",59962
"02070","Dillingham Census Area, AK*",47520
"02090","Fairbanks North Star Borough, AK",50574
"02100","Haines Borough, AK",41535
"02105","Hoonah-Angoon Census Area, AK*",46124
"02110","Juneau City and Borough, AK",60288
"02122","Kenai Peninsula Borough, AK",48636
"02130","Ketchikan Gateway Borough, AK*",57899
"02150","Kodiak Island Borough, AK",55208
"02158","Kusilvak Census Area, AK*",27894
"02164","Lake and Peninsula Borough, AK*",51083
"02170","Matanuska-Susitna Borough, AK",43670
"02180","Nome Census Area, AK*",43002
"02185","North Slope Borough, AK",32574
"02188","Northwest Arctic Borough, AK",41683
"02195","Petersburg Borough, AK*",56187
"02198","Prince of Wales-Hyder Census Area, AK*",36458
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
"02220","Sitka City and Borough, AK",60099
"02230","Skagway Municipality, AK*",85211
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",38234
"02261","Valdez-Cordova Census Area, AK*",57232
"02275","Wrangell City and Borough, AK*",42184
"02280","Wrangell-Petersburg Census Area, AK*","(NA)"
"02282","Yakutat City and Borough, AK*",54779
"02290","Yukon-Koyukuk Census Area, AK*",51110
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
