"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2003"
"01001","Autauga, AL",25795
"01003","Baldwin, AL",28266
"01005","Barbour, AL",20697
"01007","Bibb, AL",18680
"01009","Blount, AL",21305
"01011","Bullock, AL",18366
"01013","Butler, AL",22534
"01015","Calhoun, AL",25088
"01017","Chambers, AL",22558
"01019","Cherokee, AL",20839
"01021","Chilton, AL",21876
"01023","Choctaw, AL",21070
"01025","Clarke, AL",21456
"01027","Clay, AL",21737
"01029","Cleburne, AL",21610
"01031","Coffee, AL",27683
"01033","Colbert, AL",23920
"01035","Conecuh, AL",20870
"01037","Coosa, AL",20321
"01039","Covington, AL",23486
"01041","Crenshaw, AL",22375
"01043","Cullman, AL",25022
"01045","Dale, AL",23589
"01047","Dallas, AL",21724
"01049","DeKalb, AL",22209
"01051","Elmore, AL",27177
"01053","Escambia, AL",19710
"01055","Etowah, AL",23975
"01057","Fayette, AL",20004
"01059","Franklin, AL",21927
"01061","Geneva, AL",23015
"01063","Greene, AL",19940
"01065","Hale, AL",20292
"01067","Henry, AL",23544
"01069","Houston, AL",28054
"01071","Jackson, AL",23061
"01073","Jefferson, AL",33288
"01075","Lamar, AL",20837
"01077","Lauderdale, AL",23972
"01079","Lawrence, AL",20869
"01081","Lee, AL",23568
"01083","Limestone, AL",26801
"01085","Lowndes, AL",18528
"01087","Macon, AL",18331
"01089","Madison, AL",31608
"01091","Marengo, AL",23003
"01093","Marion, AL",20331
"01095","Marshall, AL",25105
"01097","Mobile, AL",24012
"01099","Monroe, AL",21127
"01101","Montgomery, AL",30481
"01103","Morgan, AL",26094
"01105","Perry, AL",19698
"01107","Pickens, AL",21884
"01109","Pike, AL",24144
"01111","Randolph, AL",20963
"01113","Russell, AL",22312
"01115","St. Clair, AL",24227
"01117","Shelby, AL",35040
"01119","Sumter, AL",19141
"01121","Talladega, AL",23019
"01123","Tallapoosa, AL",22966
"01125","Tuscaloosa, AL",26512
"01127","Walker, AL",25059
"01129","Washington, AL",20314
"01131","Wilcox, AL",18735
"01133","Winston, AL",21495
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",29569
"02016","Aleutians West Census Area, AK*",28477
"02020","Anchorage Municipality, AK",40332
"02050","Bethel Census Area, AK*",27228
"02060","Bristol Bay Borough, AK",38068
"02068","Denali Borough, AK*",39968
"02070","Dillingham Census Area, AK*",28731
"02090","Fairbanks North Star Borough, AK",32777
"02100","Haines Borough, AK",30150
"02105","Hoonah-Angoon Census Area, AK*","(NA)"
"02110","Juneau City and Borough, AK",40180
"02122","Kenai Peninsula Borough, AK",31203
"02130","Ketchikan Gateway Borough, AK*",40502
"02150","Kodiak Island Borough, AK",34361
"02158","Kusilvak Census Area, AK*",18854
"02164","Lake and Peninsula Borough, AK*",31128
"02170","Matanuska-Susitna Borough, AK",31843
"02180","Nome Census Area, AK*",27744
"02185","North Slope Borough, AK",24985
"02188","Northwest Arctic Borough, AK",26200
"02195","Petersburg Borough, AK*","(NA)"
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)"
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",24226
"02220","Sitka City and Borough, AK",35314
"02230","Skagway Municipality, AK*","(NA)"
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*",33623
"02240","Southeast Fairbanks Census Area, AK*",29117
"02261","Valdez-Cordova Census Area, AK*",35085
"02275","Wrangell City and Borough, AK*","(NA)"
"02280","Wrangell-Petersburg Census Area, AK*",36790
"02282","Yakutat City and Borough, AK*",35175
"02290","Yukon-Koyukuk Census Area, AK*",25625
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
"02921","Seward Division, AK*","(NA)"
"02922","Sitka Division, AK*","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)"
"02925","Upper Yukon Division, AK*","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)"
"04001","Apache, AZ",18070
"04003","Cochise, AZ",25332
"04005","Coconino, AZ",26110
"04007","Gila, AZ",22104
"04009","Graham, AZ",17473
"04011","Greenlee, AZ",21255
"04012","La Paz, AZ*",20456
"04013","Maricopa, AZ",30699
"04015","Mohave, AZ",21245
"04017","Navajo, AZ",19025
"04019","Pima, AZ",27769
"04021","Pinal, AZ",20418
"04023","Santa Cruz, AZ",23143
"04025","Yavapai, AZ",23650
"04027","Yuma, AZ*",21216
"05001","Arkansas, AR",27098
"05003","Ashley, AR",23271
"05005","Baxter, AR",23964
"05007","Benton, AR",35907
"05009","Boone, AR",22357
"05011","Bradley, AR",21857
"05013","Calhoun, AR",21166
"05015","Carroll, AR",19558
"05017","Chicot, AR",21079
"05019","Clark, AR",21540
"05021","Clay, AR",23017
"05023","Cleburne, AR",22962
"05025","Cleveland, AR",24099
"05027","Columbia, AR",22509
"05029","Conway, AR",23438
"05031","Craighead, AR",24780
"05033","Crawford, AR",20213
"05035","Crittenden, AR",23309
"05037","Cross, AR",23023
"05039","Dallas, AR",20441
"05041","Desha, AR",23568
"05043","Drew, AR",22882
"05045","Faulkner, AR",23783
"05047","Franklin, AR",21835
"05049","Fulton, AR",17815
"05051","Garland, AR",25417
"05053","Grant, AR",24604
"05055","Greene, AR",21551
"05057","Hempstead, AR",21347
"05059","Hot Spring, AR",20143
"05061","Howard, AR",21549
"05063","Independence, AR",23114
"05065","Izard, AR",20271
"05067","Jackson, AR",23739
"05069","Jefferson, AR",22728
