"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2009"
"01001","Autauga, AL",32602
"01003","Baldwin, AL",34768
"01005","Barbour, AL",26461
"01007","Bibb, AL",23803
"01009","Blount, AL",27417
"01011","Bullock, AL",23585
"01013","Butler, AL",27381
"01015","Calhoun, AL",30098
"01017","Chambers, AL",26060
"01019","Cherokee, AL",27196
"01021","Chilton, AL",27141
"01023","Choctaw, AL",24777
"01025","Clarke, AL",27138
"01027","Clay, AL",28273
"01029","Cleburne, AL",26439
"01031","Coffee, AL",34080
"01033","Colbert, AL",30692
"01035","Conecuh, AL",25260
"01037","Coosa, AL",25951
"01039","Covington, AL",28216
"01041","Crenshaw, AL",28155
"01043","Cullman, AL",29969
"01045","Dale, AL",32185
"01047","Dallas, AL",27173
"01049","DeKalb, AL",26017
"01051","Elmore, AL",33138
"01053","Escambia, AL",25364
"01055","Etowah, AL",29241
"01057","Fayette, AL",25255
"01059","Franklin, AL",27194
"01061","Geneva, AL",28399
"01063","Greene, AL",27867
"01065","Hale, AL",29367
"01067","Henry, AL",30370
"01069","Houston, AL",33950
"01071","Jackson, AL",28798
"01073","Jefferson, AL",40596
"01075","Lamar, AL",25172
"01077","Lauderdale, AL",29784
"01079","Lawrence, AL",27288
"01081","Lee, AL",28329
"01083","Limestone, AL",32620
"01085","Lowndes, AL",29697
"01087","Macon, AL",25245
"01089","Madison, AL",40383
"01091","Marengo, AL",29198
"01093","Marion, AL",24976
"01095","Marshall, AL",29051
"01097","Mobile, AL",30530
"01099","Monroe, AL",26529
"01101","Montgomery, AL",35169
"01103","Morgan, AL",31444
"01105","Perry, AL",25231
"01107","Pickens, AL",28541
"01109","Pike, AL",30177
"01111","Randolph, AL",27597
"01113","Russell, AL",26317
"01115","St. Clair, AL",29382
"01117","Shelby, AL",41199
"01119","Sumter, AL",25267
"01121","Talladega, AL",26596
"01123","Tallapoosa, AL",31054
"01125","Tuscaloosa, AL",31322
"01127","Walker, AL",31480
"01129","Washington, AL",28963
"01131","Wilcox, AL",24170
"01133","Winston, AL",27190
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",35135
"02016","Aleutians West Census Area, AK*",38972
"02020","Anchorage Municipality, AK",53620
"02050","Bethel Census Area, AK*",31805
"02060","Bristol Bay Borough, AK",55746
"02068","Denali Borough, AK*",54088
"02070","Dillingham Census Area, AK*",39763
"02090","Fairbanks North Star Borough, AK",44519
"02100","Haines Borough, AK",37115
"02105","Hoonah-Angoon Census Area, AK*",36576
"02110","Juneau City and Borough, AK",51570
"02122","Kenai Peninsula Borough, AK",42112
"02130","Ketchikan Gateway Borough, AK*",52668
"02150","Kodiak Island Borough, AK",45339
"02158","Kusilvak Census Area, AK*",23737
"02164","Lake and Peninsula Borough, AK*",38988
"02170","Matanuska-Susitna Borough, AK",39784
"02180","Nome Census Area, AK*",37170
"02185","North Slope Borough, AK",30248
"02188","Northwest Arctic Borough, AK",36970
"02195","Petersburg Borough, AK*",46633
"02198","Prince of Wales-Hyder Census Area, AK*",31289
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
"02220","Sitka City and Borough, AK",47835
"02230","Skagway Municipality, AK*",69317
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",37113
"02261","Valdez-Cordova Census Area, AK*",48903
"02275","Wrangell City and Borough, AK*",34009
"02280","Wrangell-Petersburg Census Area, AK*","(NA)"
"02282","Yakutat City and Borough, AK*",44595
"02290","Yukon-Koyukuk Census Area, AK*",39744
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
